layer,zone,field,when,verdict,quote,text
or/multnomah/wood-village,LR 12,min_lot_depth_ft,unit_lots,stated,or/multnomah/wood-village/210.320.txt#L84,"(2)For townhouses the minimum lot size is one thousand five hundred (1,500) square feet with a twenty (20) foot minimum width, no minimum depth, and zero (0) foot side setback when attached to another townhouse. Minimum site coverage for a townhouse is seventy (70) percent."
or/multnomah/wood-village,LR 7.5,min_lot_depth_ft,unit_lots,stated,or/multnomah/wood-village/210.320.txt#L84,"(2)For townhouses the minimum lot size is one thousand five hundred (1,500) square feet with a twenty (20) foot minimum width, no minimum depth, and zero (0) foot side setback when attached to another townhouse. Minimum site coverage for a townhouse is seventy (70) percent."
or/multnomah/wood-village,NC,min_lot_depth_ft,,stated,"or/multnomah/wood-village/230.310.txt#L60,L64-L65,L69,L84",A. Minimum Lot Size and Dimension. There is no minimum lot size or dimension for development of land or creation of new lots in commercial zones. Creation of new lots is subject to the regulations of Section 450 – Subdivisions and Partitions. The lot size for all permitted or conditional uses shall 
or/multnomah/wood-village,NC,min_lot_sqft,,stated,"or/multnomah/wood-village/230.310.txt#L60,L64-L67,L84",A. Minimum Lot Size and Dimension. There is no minimum lot size or dimension for development of land or creation of new lots in commercial zones. Creation of new lots is subject to the regulations of Section 450 – Subdivisions and Partitions. The lot size for all permitted or conditional uses shall 
or/multnomah/wood-village,NC,min_lot_width_ft,,stated,"or/multnomah/wood-village/230.310.txt#L60,L64-L65,L68,L84",A. Minimum Lot Size and Dimension. There is no minimum lot size or dimension for development of land or creation of new lots in commercial zones. Creation of new lots is subject to the regulations of Section 450 – Subdivisions and Partitions. The lot size for all permitted or conditional uses shall 
or/multnomah/wood-village,NC,setback_rear_ft,,stated,"or/multnomah/wood-village/230.310.txt#L64-L65,L75",Table 230-2. Development Standards in Commercial Zones | Standard NC | – Rear setback None(2)
or/multnomah/wood-village,NC,setback_side_ft,,stated,"or/multnomah/wood-village/230.310.txt#L64-L65,L74",Table 230-2. Development Standards in Commercial Zones | Standard NC | – Side setback None(2)
or/multnomah/wood-village,TC,min_density_du_per_acre,,stated,or/multnomah/wood-village/235.300.txt#L68-L77,"Table 235-2. Development Standards in Town Center Zone | STANDARD RESIDENTIAL USE CATEGORIES(1) NONRESIDENTIAL AND MIXED USE | Lot size and dimensions Same as MR2 zone (see Tables 220-3 and 220-4) No minimum lot size, long-term (phased) capacity to achieve minimum 0.4 FAR | Maximum lot coverage same"
or/clackamas/_unincorporated,(default),parking_front_prohibited,,numeric,"or/clackamas/_unincorporated/zdo.845.txt#L19,L51-L55,L121,L193-L197","845.02 Triplexes And Quadplexes | 4 Garages and Off-Street Parking Areas: Garages and off-street parking areas shall not be located between a building and a public street (other than an improved alley that complies with Comprehensive Plan Figure 5-1e or 10-SV-6), except in compliance with Subsection"
or/clackamas/_unincorporated,(default),parking_maneuvering_max_width_ft,,numeric,"or/clackamas/_unincorporated/zdo.845.txt#L19,L51-L55","845.02 Triplexes And Quadplexes | 4 Garages and Off-Street Parking Areas: Garages and off-street parking areas shall not be located between a building and a public street (other than an improved alley that complies with Comprehensive Plan Figure 5-1e or 10-SV-6), except in compliance with Subsection"
or/clackamas/happy-valley,R10,max_density_du_per_acre,,numeric,"or/clackamas/happy-valley/16.22.residential.txt#L468,L471",Standard R-10 R-8.5 R-7 | Townhome maximum density (units per net acre) 17.4 du/net acre 20.5 du/net acre 24.9 du/net acre
or/clackamas/happy-valley,R15,max_density_du_per_acre,,numeric,"or/clackamas/happy-valley/16.22.residential.txt#L278,L281",Standard R-40 R-20 R-15 | Townhome maximum density (units per net acre) 4.4 du/net acre 8.7 du/net acre 11.6 du/net acre
or/clackamas/happy-valley,R20,max_density_du_per_acre,,numeric,"or/clackamas/happy-valley/16.22.residential.txt#L278,L281",Standard R-40 R-20 R-15 | Townhome maximum density (units per net acre) 4.4 du/net acre 8.7 du/net acre 11.6 du/net acre
or/clackamas/happy-valley,R40,max_density_du_per_acre,,numeric,"or/clackamas/happy-valley/16.22.residential.txt#L278,L281",Standard R-40 R-20 R-15 | Townhome maximum density (units per net acre) 4.4 du/net acre 8.7 du/net acre 11.6 du/net acre
or/clackamas/happy-valley,R7,max_density_du_per_acre,,numeric,"or/clackamas/happy-valley/16.22.residential.txt#L468,L471",Standard R-10 R-8.5 R-7 | Townhome maximum density (units per net acre) 17.4 du/net acre 20.5 du/net acre 24.9 du/net acre
or/clackamas/happy-valley,R8.5,max_density_du_per_acre,,numeric,"or/clackamas/happy-valley/16.22.residential.txt#L468,L471",Standard R-10 R-8.5 R-7 | Townhome maximum density (units per net acre) 17.4 du/net acre 20.5 du/net acre 24.9 du/net acre
or/clackamas/milwaukie,(default),parking_maneuvering_max_width_ft,,numeric,"or/clackamas/milwaukie/19.600.parking.txt#L931,L975",1. | Uncovered parking spaces and maneuvering areas cannot exceed 50% of the front yard area.
or/clackamas/oregon-city,(default),parking_front_prohibited,,numeric,or/clackamas/oregon-city/17.zoning.txt#L5417-L5432,"17 . 16.030 . D. 4). | D. In res i dential zones, garages on the front fa9ade | and off-street parking areas in the front yard, are permit­ | ted in compliance with the following standards: | 1. Outdoor on-site parking and maneuvering areas | shall not exceed a total of forty feet wide or fifty per­"
or/clackamas/oregon-city,(default),parking_maneuvering_max_width_ft,,numeric,or/clackamas/oregon-city/17.zoning.txt#L5417-L5432,"17 . 16.030 . D. 4). | D. In res i dential zones, garages on the front fa9ade | and off-street parking areas in the front yard, are permit­ | ted in compliance with the following standards: | 1. Outdoor on-site parking and maneuvering areas | shall not exceed a total of forty feet wide or fifty per­"
or/clackamas/wilsonville,(default),parking_front_prohibited,,numeric,or/clackamas/wilsonville/4.planning.txt#L3538-L3541,3. Garages and Off-Street Parking Areas. The combined width of all garages (measured | from the interior of the garage door frame) and outdoor on-site parking and maneu- | vering areas shall not exceed a total of 50 percent of any street frontage (other than an | alley) (see Figure 6. Width of Garag
