layer,ref,mentions,binding,sources,sample,ruling
or/multnomah/fairview,19.530,1,1,19.13.definitions.txt,"“Nonconforming use/nonconforming development” means a land use/structure that exists which would not be permitted by the regulations imposed by the code, but wa",
or/multnomah/fairview,197,1,1,19.30.txt,"A. Manufactured Home Park. Manufactured home parks are permitted on parcels of one acre or larger within the manufactured home park (MH) district, subject to co",
or/multnomah/gresham,10.1100,1,1,4.0100.residential.txt,12.           Also see Section 10.1100 for shoreline height standards.,
or/multnomah/gresham,10.1711,1,1,7.0400.middle-housing-design.txt,2.                             Affordable housing eligible for a building height bonus (Section 10.1711(H)) and subject to the rear,
or/multnomah/gresham,6.0001,1,1,4.0400.corridor.txt,"for the townhouses as required in Section 6.0001, and design review approval                                                                                    ",
or/multnomah/gresham,7.000,1,1,4.1400.pleasant-valley.txt,2. Section 7.000 Rear Roof Height Limit Reductions,
or/multnomah/gresham,7.0001,1,1,4.0400.corridor.txt,"for the townhouses as required in Section 6.0001, and design review approval                                                                                    ",
or/multnomah/gresham,7.0221,1,1,7.0400.middle-housing-design.txt,G.                      See Section 7.0221                        - 7.0223 for additional requirements.,
or/multnomah/gresham,9.0850,1,1,4.0400.corridor.txt,be as provided in Section 9.0850                                                                                                                           for e,
or/multnomah/gresham,9.08514,1,1,4.0400.corridor.txt,"Street Parking                                 residential4, 5; all                               for residential4, 5;                                 residenti",
or/multnomah/gresham,9.0852,1,1,4.1100.downtown.txt,7.                                       Structured parking only as per Section 9.0852(B)(5)                     .,
or/multnomah/gresham,9.0901,1,1,7.0400.middle-housing-design.txt,no greater than 18 inches. See Section 9.0901(B)                                                          .,
or/multnomah/portland,0.7,1,1,33.110.txt,- 3 total dwelling units [2]                                                                                 NA                            0.7 to 1             ,
or/multnomah/portland,3.75,1,1,33.150.txt,Maximum FAR with Inclusionary Housing Bonus [1]                                                                                                                 ,
or/multnomah/portland,33.614,1,1,33.140.txt,Lot size regulations are in Chapters 33.614 and 33.615.,
or/multnomah/troutdale,5.030,1,1,3.zoning-districts.txt,3.     Exceptions to the building height limit are listed in Section 5.030 of this Code.,
or/multnomah/wood-village,230.350,1,1,230.310.txt,(See Sections 230.350 and 330),
or/multnomah/wood-village,340.020,1,1,220.310.txt,Manufactured Home Park (See Section 340.020)  N    Y,
or/multnomah/wood-village,660,1,1,220.320.txt,B. Exceptions to Minimum Lot Size & Dimension. In the MR4 & MR2 zones reductions to the minimum lot size & dimensions for detached single dwelling units may be ,
or,10.1700,34,0,4.1400.pleasant-valley.txt 4.1500.springwater.txt 4.1100.downtown.txt 4.0100.residential.txt 4.0400.corridor.txt 4.1200.civic-neighborhood.txt 4.0200.commercial.txt 4.0300.industrial.txt,6.                                    Affordable housing development is subject to the provisions in Section                                       10.1700.,
